ClusterIndex Probability          OffspringID             FatherID             MotherID
           4      0.3031     36C_B2_F1_1_2016                 #105             36C_2016
           4      0.3031     36C_B2_F1_2_2016                 #102             36C_2016
           4      0.3031     36C_B2_F1_3_2016                  #31             36C_2016
           4      0.3031     36C_B2_F2_4_2016                  #31             36C_2016
           4      0.3031     36C_B2_F2_5_2016                  #27             36C_2016
           4      0.3031     36C_B3_F3_6_2016                 #191             36C_2016
           4      0.3031     36C_B3_F4_7_2016                 #190             36C_2016
           4      0.3031     36C_B3_F4_8_2016                 #193             36C_2016
           4      0.3031     36C_B3_F4_9_2016                  #30             36C_2016
           4      0.3031    36C_B3_F5_10_2016                  #30             36C_2016
           4      0.3031    36C_B3_F5_11_2016             36B_2016             36C_2016
           5      1.0000     12A_B3_F1_1_2016                  #33             12A_2016
           5      1.0000     12A_B3_F1_2_2016                  #33             12A_2016
           5      1.0000     12A_B3_F1_3_2016                  #33             12A_2016
           5      1.0000     12A_B3_F2_4_2016                  #34             12A_2016
           5      1.0000     12A_B3_F2_5_2016                  #35             12A_2016
           5      1.0000     12A_B3_F2_6_2016                  #36             12A_2016
           5      1.0000     12A_B3_F3_7_2016                  #34             12A_2016
           5      1.0000     12A_B3_F3_8_2016                  #35             12A_2016
           5      1.0000     12A_B4_F4_9_2016                  #37             12A_2016
           5      1.0000    12A_B4_F4_10_2016                  #35             12A_2016
           5      1.0000    12A_B4_F5_11_2016                  #38             12A_2016
           5      1.0000    12A_B4_F6_12_2016                  #34             12A_2016
           5      1.0000     12D_B1_F1_1_2016                  #36             12D_2016
           5      1.0000     12D_B1_F1_2_2016                  #45             12D_2016
           5      1.0000     12D_B1_F2_3_2016             12A_2016             12D_2016
           5      1.0000     12D_B1_F2_4_2016             12A_2016             12D_2016
           5      1.0000     12D_B1_F3_5_2016                  #38             12D_2016
           5      1.0000     12D_B1_F3_6_2016                  #38             12D_2016
           5      1.0000     12D_B1_F3_7_2016                  #35             12D_2016
           5      1.0000     12D_B1_F4_8_2016                  #46             12D_2016
           5      1.0000     12D_B1_F4_9_2016                  #33             12D_2016
           5      1.0000    12D_B3_F5_10_2016                  #38             12D_2016
           5      1.0000    12D_B3_F6_11_2016                  #38             12D_2016
           5      1.0000    12D_B3_F7_12_2016                  #46             12D_2016
           5      1.0000    12D_B1_F5_13_2016                  #36             12D_2016
           5      1.0000    12D_B3_F8_14_2016             12A_2016             12D_2016
           5      1.0000     29B_B2_F1_1_2016                 #125             29B_2016
           5      1.0000     29B_B2_F1_2_2016                  #35             29B_2016
           5      1.0000     29B_B2_F2_3_2016                 #126             29B_2016
           5      1.0000     29B_B2_F2_4_2016                 #125             29B_2016
           5      1.0000     29B_B2_F3_5_2016                  #36             29B_2016
           5      1.0000     29B_B2_F3_6_2016                 #126             29B_2016
           5      1.0000     29B_B3_F4_7_2016                 #126             29B_2016
           5      1.0000     29B_B3_F4_8_2016                 #126             29B_2016
           5      1.0000     29B_B3_F4_9_2016                 #125             29B_2016
           5      1.0000    29B_B3_F5_10_2016                  #36             29B_2016
           5      1.0000    29B_B3_F5_11_2016                 #127             29B_2016
           5      1.0000     50A_B3_F1_1_2016                 #125             50A_2016
           5      1.0000     50A_B3_F1_2_2016                  #45             50A_2016
           5      1.0000     50A_B3_F1_3_2016                  #35             50A_2016
           5      1.0000     50A_B3_F2_4_2016                  #34             50A_2016
           5      1.0000     50A_B3_F2_5_2016                  #46             50A_2016
           5      1.0000     50A_B3_F3_6_2016                  #37             50A_2016
           6      1.0000     12C_B1_F1_1_2016                  #39             12C_2016
           6      1.0000     12C_B1_F1_2_2016                  #40             12C_2016
           6      1.0000     12C_B1_F1_3_2016                  #39             12C_2016
           6      1.0000     12C_B1_F2_4_2016                  #41             12C_2016
           6      1.0000     12C_B1_F2_5_2016                  #42             12C_2016
           6      1.0000     12C_B1_F2_6_2016                  #42             12C_2016
           6      1.0000     12C_B1_F3_7_2016                  #42             12C_2016
           6      1.0000     12C_B1_F3_8_2016                  #41             12C_2016
           6      1.0000     12C_B3_F4_9_2016                  #43             12C_2016
           6      1.0000    12C_B3_F4_10_2016                  #44             12C_2016
           6      1.0000    12C_B1_F4_11_2016                  #42             12C_2016
           6      1.0000    12C_B3_F5_12_2016                  #42             12C_2016
           6      1.0000     24E_B2_F1_1_2016                  #95             24E_2016
           6      1.0000     24E_B2_F1_2_2016                  #41             24E_2016
           6      1.0000     24E_B3_F1_3_2016                  #95             24E_2016
           6      1.0000     24E_B3_F2_4_2016                  #44             24E_2016
           6      1.0000     24E_B3_F2_5_2016                  #96             24E_2016
           6      1.0000     24E_B3_F2_6_2016                  #43             24E_2016
           6      1.0000     58A_B5_F1_1_2016                 #242             58A_2016
           6      1.0000     58A_B5_F1_2_2016                  #43             58A_2016
           6      1.0000     58A_B5_F2_3_2016                  #41             58A_2016
           6      1.0000     58A_B5_F2_4_2016                  #40             58A_2016
           6      1.0000     58A_B5_F3_5_2016                  #96             58A_2016
           6      1.0000     58A_B5_F3_6_2016                  #96             58A_2016
           6      1.0000     58A_B7_F4_7_2016                  #42             58A_2016
           6      1.0000     58A_B7_F4_8_2016                  #39             58A_2016
           6      1.0000     58A_B7_F5_9_2016                 #242             58A_2016
           7      0.6365     12E_B4_F2_1_2016                  #47             12E_2016
           7      0.6365     12E_B4_F3_2_2016                  #48             12E_2016
           7      0.6365     12E_B4_F3_3_2016                  #48             12E_2016
           7      0.6365     12E_B5_F4_4_2016                  #48             12E_2016
           7      0.6365     12E_B5_F4_5_2016                  #49             12E_2016
           7      0.6365     12E_B5_F5_6_2016                  #50             12E_2016
           7      0.6365     12E_B5_F6_7_2016                  #51             12E_2016
           7      0.6365     12E_B5_F7_8_2016                  #48             12E_2016
           7      0.6365     12E_B5_F7_9_2016                  #47             12E_2016
           7      0.6365    12E_B5_F8_10_2016                  #52             12E_2016
           7      0.6365    12E_B5_F9_11_2016                  #48             12E_2016
           7      0.6365   12E_B5_F10_12_2016                  #48             12E_2016
           7      0.6365     32A_B5_F1_1_2016                  #50             32A_2016
           7      0.6365     32A_B5_F1_2_2016                  #51             32A_2016
           7      0.6365     32A_B5_F2_3_2016                  #51             32A_2016
           7      0.6365     32A_B5_F3_4_2016                  #50             32A_2016
           7      0.6365     32A_B5_F4_5_2016                 #163             32A_2016
           7      0.6365     32A_B5_F5_6_2016                  #50             32A_2016
           7      0.6365     32A_B6_F6_7_2016                 #163             32A_2016
           7      0.6365     32A_B6_F7_8_2016                 #164             32A_2016
           7      0.6365     32A_B6_F8_9_2016                  #50             32A_2016
           7      0.6365    32A_B6_F9_10_2016                  #50             32A_2016
           7      0.6365   32A_B6_F10_11_2016                  #52             32A_2016
           7      0.6365   32A_B6_F11_12_2016                  #50             32A_2016
           7      0.6365     63A_B2_F1_1_2016                 #253             63A_2016
           7      0.6365     63A_B2_F1_2_2016                 #254             63A_2016
           7      0.6365     63A_B2_F2_3_2016             63A_2016             63A_2016
           7      0.6365     63A_B2_F2_4_2016                 #255             63A_2016
           7      0.6365     63A_B2_F2_5_2016             63A_2016             63A_2016
           7      0.6365     63A_B3_F3_6_2016                  #49             63A_2016
           7      0.6365     63A_B3_F3_7_2016                 #256             63A_2016
           7      0.6365     63A_B3_F3_8_2016                 #256             63A_2016
           7      0.6365     63A_B3_F4_9_2016                 #255             63A_2016
           7      0.6365    63A_B3_F4_10_2016                  #48             63A_2016
           7      0.6365    63A_B3_F5_11_2016                  #50             63A_2016
           7      0.6365    63A_B3_F6_12_2016                 #255             63A_2016
           7      0.6365    63A_B3_F7_13_2016                 #255             63A_2016
           7      0.6365     63E_B5_F1_1_2016             63A_2016             63E_2016
           7      0.6365     63E_B5_F1_2_2016                  #48             63E_2016
           7      0.6365     63E_B5_F1_3_2016                 #256             63E_2016
           7      0.6365     63E_B5_F2_4_2016             63E_2016             63E_2016
           7      0.6365     63E_B5_F2_5_2016                 #164             63E_2016
           7      0.6365     63E_B5_F2_6_2016             63E_2016             63E_2016
           7      0.6365     63E_B7_F3_7_2016                 #163             63E_2016
           7      0.6365     63E_B7_F3_8_2016                 #253             63E_2016
           7      0.6365     63E_B7_F3_9_2016             63A_2016             63E_2016
           7      0.6365    63E_B7_F4_10_2016                  #47             63E_2016
           8      1.0000     16A_B5_F1_1_2016                  #53             16A_2016
           8      1.0000     16A_B5_F1_2_2016                  #53             16A_2016
           8      1.0000     16A_B5_F1_3_2016                  #54             16A_2016
           8      1.0000     16A_B5_F3_4_2016                  #55             16A_2016
           8      1.0000     16A_B5_F3_5_2016                  #56             16A_2016
           8      1.0000     16A_B5_F3_6_2016                  #57             16A_2016
           8      1.0000     16A_B5_F4_7_2016                  #56             16A_2016
